Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0017625371289343,-9.33345766368499E-08,-0.00900246912193357,0,0,0,2.31184777289882,0.00562553863622637,2.6053375261503E-07,-3.13087597520614E-05,0.00561634192951818,1.17676657555984E-07,0.009150557101572,0,0,0,0,0,0,package://xh7/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xh7/meshes/base_link.STL,,base-1,base,A_BR_calf,BR_calf_joint,revolute,-0.011499,-0.073206,-0.13921,0,0,0,BR_thigh,0,-1,0,3,12.57,-2.7,-0.84,,,,,,,,
FL_hip,0.042844,0.0019318,-0.00024156,0,0,0,0.20277,8.9829E-05,-7.1699E-06,-8.4071E-08,0.00012815,1.6103E-08,0.00010125,0,0,0,0,0,0,package://xh7/meshes/FL_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xh7/meshes/FL_hip.STL,,hip-1,FL_hip,LF_HAA,FL_hip_joint,revolute,0.162,0.045,0,0,0,0,base_link,-1,0,0,27,3.77,-1.57,1.57,,,,,,,,
FL_thigh,-0.0023441,0.054751,-0.020875,0,0,0,0.30688,0.00031495,-3.1737E-08,1.9978E-05,0.00037024,3.3262E-07,0.00010578,0,0,0,0,0,0,package://xh7/meshes/FL_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xh7/meshes/FL_thigh.STL,,Left_thigh-1,FL_thigh,LF_HFE,FL_thigh_joint,revolute,0.054,0.028,-0.00025,0,0,0,FL_hip,0,-1,0,7,12.57,-1.57,2.4,,,,,,,,
FL_calf,0.0085532,-0.00010108,-0.063208,0,0,0,0.040508,7.694E-05,-7.1563E-09,-3.6963E-06,7.9194E-05,-2.2841E-07,3.4359E-06,0,0,0,0,0,0,package://xh7/meshes/FL_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xh7/meshes/FL_calf.STL,,Left_calf-1,FL_calf,LF_KFE,FL_calf_joint,revolute,-0.0016548,0.0774,-0.13999,0,0,0,FL_thigh,0,1,0,7,12.57,-2.25,0.2,,,,,,,,
FL_foot,0.00529090535037441,7.43664452039494E-05,0.0112620648479916,0,0,0,0.00751427206030558,4.32731011642043E-07,-4.23630173025918E-09,-3.78654028658827E-08,5.99421540835697E-07,-5.10268398659955E-09,4.82729483026004E-07,0,0,0,0,0,0,package://xh7/meshes/FL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://xh7/meshes/FL_foot.STL,,L_foot^总装配体-1,FL_foot,,FL_foot_joint,fixed,-0.0071203,-9.0727E-05,-0.15596,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.042844,-0.0019318,0.00024156,0,0,0,0.20277,8.9829E-05,7.1699E-06,8.4071E-08,0.00012815,1.6103E-08,0.00010125,0,0,0,0,0,0,package://xh7/meshes/FR_hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xh7/meshes/FR_hip.STL,,hip-2,FR_hip,RF_HAA,FR_hip_joint,revolute,0.162,-0.045,0,0,0,0,base_link,-1,0,0,27,3.77,-1.57,1.57,,,,,,,,
FR_thigh,-0.00211143401754538,-0.0547851106472903,-0.0208830077846028,0,0,0,0.307029824707616,0.000315893546827097,2.4809947523603E-08,1.75963100439133E-05,0.000370793315003799,-3.39076503673959E-07,0.000105398601839932,0,0,0,0,0,0,package://xh7/meshes/FR_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xh7/meshes/FR_thigh.STL,,Right_thigh-1,FR_thigh,RF_HFE,FR_thigh_joint,revolute,0.0540000000000005,-0.027999999999999,0.000250000000003515,0,0,0,FR_hip,0,1,0,7,12.57,-1.57,2.4,,,,,,,,
FR_calf,0.00732684304551998,0.000101140460693649,-0.0633621645446063,0,0,0,0.0405075704765232,7.70560628090475E-05,1.1598686658637E-08,-2.2690687888159E-06,7.91944565096709E-05,2.28230652940156E-07,3.32021608961183E-06,0,0,0,0,0,0,package://xh7/meshes/FR_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xh7/meshes/FR_calf.STL,,Right_calf-1,FR_calf,RF_KFE,FR_calf_joint,revolute,0,-0.0773999999976714,-0.140000000000196,0,0,0,FR_thigh,0,-1,0,7,12.57,-2.25,0.2,,,,,,,,
FR_foot,0.00550820841762006,7.43666531913267E-05,0.0111573933001806,0,0,0,0.00751427318909232,4.34217370481211E-07,-4.3344446745356E-09,-3.88058864261474E-08,5.99421626653424E-07,-5.01959288179391E-09,4.81243251938034E-07,0,0,0,0,0,0,package://xh7/meshes/FR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://xh7/meshes/FR_foot.STL,,R_foot^总装配体-1,FR_foot,Axis_FR_foot_joint,FR_foot_joint,fixed,-0.0101420384969327,-9.07269269332933E-05,-0.155793126932678,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,-0.0428437699818486,0.00193179288894996,0.000241562760332641,0,0,0,0.202771370030848,8.98293097706938E-05,7.16990213547062E-06,-8.40706153031946E-08,0.000128154373032056,-1.61031024148404E-08,0.000101248634958423,0,0,0,0,0,0,package://xh7/meshes/RL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xh7/meshes/RL_hip.STL,,hip-4,RL_hip,LH_HAA,RL_hip_joint,revolute,-0.162,0.045,0,0,0,0,base_link,1,0,0,27,3.77,-1.57,1.57,,,,,,,,
